period,패션의류,패션잡화,화장품_미용,디지털_가전,가구_인테리어,출산_육아,식품,스포츠_레저,생활_건강,여가_생활편의,도서
2024-12-30,95.3821,82.8987,42.7557,102.3165,59.7739,66.9122,80.7529,55.6626,155.1460,23.5163,23.2557
2025-01-06,100.0000,86.1920,46.3216,108.2406,62.1237,75.9301,93.3570,61.4752,163.6527,24.3274,23.6150
2025-01-13,92.7460,82.8154,45.3073,105.7251,62.3302,74.0252,102.7878,56.0994,160.2491,23.7908,23.2926
2025-01-20,77.7613,74.3881,40.7890,102.2261,55.6742,64.2799,96.5181,48.4076,144.1625,23.2008,20.6093
2025-01-27,89.2371,88.7713,44.3343,111.1791,60.8811,64.2638,73.2927,50.8589,142.5141,23.5860,19.4667
2025-02-03,91.4690,87.9917,47.5695,117.8695,63.5670,74.7540,90.5986,55.1501,165.8908,23.1398,22.6272
2025-02-10,89.6917,88.9640,46.4464,109.6215,62.0814,74.3087,87.4484,51.6724,163.6352,23.1016,21.6564
2025-02-17,87.6056,88.9482,44.6045,108.5197,62.6457,75.2185,84.1833,52.0750,166.4174,23.1564,22.2571
2025-02-24,85.6762,87.2826,43.4908,105.1951,60.3077,75.1665,80.3152,50.3787,158.3256,22.5030,23.1739
2025-03-03,91.5049,91.0461,43.6926,104.1707,60.5023,81.1037,82.5902,53.0165,158.4225,19.7992,37.6078
2025-03-10,93.1135,88.2076,39.5455,100.4317,56.2744,78.0679,84.5739,55.1494,152.9379,18.7283,29.8043
2025-03-17,88.9633,85.5943,40.0010,96.0619,55.3595,72.1821,81.4022,54.9448,149.2287,18.4721,23.3521
2025-03-24,86.0705,82.1154,36.4001,91.5534,52.6177,70.8534,75.6232,54.8189,143.6646,17.3781,20.7978
2025-03-31,83.4304,82.6926,40.3192,91.3752,52.3202,67.7787,78.0214,54.6852,145.8803,18.1460,20.7584
2025-04-07,87.4151,87.6632,42.1407,92.7187,52.7566,72.0864,79.2121,57.7713,148.9805,18.8500,19.8803
2025-04-14,85.5671,88.4765,41.1304,92.8744,52.9914,73.9786,77.6216,57.8803,148.7601,19.4577,19.4964
2025-04-21,83.9547,88.6802,38.7566,88.9509,49.5653,81.7658,72.5066,58.5006,140.6536,20.2093,18.0269
2025-04-28,74.4192,84.0438,37.4900,81.7651,45.7443,74.5900,68.5077,55.1920,132.0906,22.9840,17.0909
2025-05-05,78.4291,91.3773,40.8072,86.0179,50.0345,70.1678,72.9188,59.4196,137.8387,20.5328,17.7373
2025-05-12,76.5282,84.3294,37.6744,86.2289,48.1432,64.8680,71.1492,56.5789,133.7851,18.4201,17.8762
2025-05-19,77.4459,81.1355,35.1577,89.5897,46.6259,63.7566,68.5722,55.2259,125.7716,18.2623,17.0224
